VG,VD,W,L,ID,abs_ID,log_ID,device
-1,1.7,5,5,-2.917e-12,2.917e-12,-11.535063570878267,top1rep
-1,1.8,5,5,-3.4508e-12,3.4508e-12,-11.462080210634157,top1rep
-1,1.9,5,5,-3.8086e-12,3.8086e-12,-11.419234636925516,top1rep
-1,2.0,5,5,-4.04e-12,4.04e-12,-11.393618634889394,top1rep
-1,2.1,5,5,-4.1494e-12,4.1494e-12,-11.382014697390998,top1rep
-1,2.2,5,5,4.6498e-12,4.6498e-12,-11.332565726844319,top1rep
-1,2.3000000000000003,5,5,4.2182e-12,4.2182e-12,-11.374872832648405,top1rep
-1,2.4,5,5,-1.7388e-12,1.7388e-12,-11.7597503684812,top1rep
-1,2.5,5,5,-6.274e-13,6.274e-13,-12.202455485638273,top1rep
-1,2.6,5,5,4.842e-13,4.842e-13,-12.314975214894286,top1rep
-1,2.7,5,5,1.6164e-12,1.6164e-12,-11.791451158229389,top1rep
-1,2.8000000000000003,5,5,2.4874e-12,2.4874e-12,-11.604254370007832,top1rep
-1,2.9,5,5,3.0506e-12,3.0506e-12,-11.515614734075506,top1rep
-1,3.0,5,5,3.5822e-12,3.5822e-12,-11.445850170449132,top1rep
-1,3.1,5,5,3.9646e-12,3.9646e-12,-11.401800623366784,top1rep
-1,3.2,5,5,4.1982e-12,4.1982e-12,-11.376936875704216,top1rep
-1,3.3000000000000003,5,5,-4.6894e-12,4.6894e-12,-11.328882720900818,top1rep
-1,3.4,5,5,-4.1992e-12,4.1992e-12,-11.376833440239915,top1rep
-1,3.5,5,5,1.8226e-12,1.8226e-12,-11.739308634062523,top1rep
-1,3.6,5,5,7.576e-13,7.576e-13,-12.120560034004782,top1rep
-1,3.7,5,5,-2.282e-13,2.282e-13,-12.641684359917804,top1rep
-1,3.8,5,5,-1.2554e-12,1.2554e-12,-11.901217875685308,top1rep
-1,3.9,5,5,-2.1962e-12,2.1962e-12,-11.658328112791482,top1rep
-1,4.0,5,5,-2.8526e-12,2.8526e-12,-11.544759122129044,top1rep
-1,4.1,5,5,-3.4006e-12,3.4006e-12,-11.468444449516632,top1rep
-1,4.2,5,5,-3.8026e-12,3.8026e-12,-11.419919356136992,top1rep
-1,4.3,5,5,-4.014e-12,4.014e-12,-11.396422631848534,top1rep
-1,4.4,5,5,-4.178e-12,4.178e-12,-11.37903156435571,top1rep
