VG,VDS,W,L,CGD,CGS,CG
-0.2,0.0,160,20,9.01942e-13,7.29607e-13,1.59419e-12
0.0,0.0,160,20,9.338770000000001e-13,7.65924e-13,1.65556e-12
0.2,0.0,160,20,9.71763e-13,8.013370000000001e-13,1.7208700000000001e-12
0.4,0.0,160,20,1.05067e-12,8.482320000000001e-13,1.79344e-12
0.6,0.0,160,20,3.3814200000000003e-12,1.8343300000000003e-12,3.6968e-12
0.8,0.0,160,20,5.135430000000001e-12,4.94033e-12,5.2278e-12
1.0,0.0,160,20,5.492550000000001e-12,5.450350000000001e-12,5.550510000000001e-12
1.2,0.0,160,20,5.6629500000000014e-12,5.64286e-12,5.70746e-12
1.4,0.0,160,20,5.776620000000001e-12,5.7642500000000014e-12,5.8134300000000014e-12
1.6,0.0,160,20,5.863360000000001e-12,5.85307e-12,5.891630000000001e-12
1.8,0.0,160,20,5.92852e-12,5.923150000000001e-12,5.952220000000001e-12
2.0,0.0,160,20,5.983060000000001e-12,5.97873e-12,6.001550000000001e-12
2.2,0.0,160,20,6.025280000000001e-12,6.023960000000001e-12,6.039970000000001e-12
2.4,0.0,160,20,6.06157e-12,6.06115e-12,6.07291e-12
2.6,0.0,160,20,6.09116e-12,6.0920100000000004e-12,6.099820000000001e-12
2.8000000000000003,0.0,160,20,6.11633e-12,6.118770000000001e-12,6.122340000000001e-12
3.0,0.0,160,20,6.136690000000001e-12,6.140520000000001e-12,6.14294e-12
3.2,0.0,160,20,6.15539e-12,6.16027e-12,6.16027e-12
3.4,0.0,160,20,6.171160000000001e-12,6.175740000000001e-12,6.175130000000001e-12
3.6,0.0,160,20,6.184220000000001e-12,6.190180000000001e-12,6.1869500000000004e-12
3.8,0.0,160,20,6.19766e-12,6.203730000000001e-12,6.19925e-12
4.0,0.0,160,20,6.209340000000001e-12,6.21565e-12,6.20915e-12
4.2,0.0,160,20,6.2169300000000015e-12,6.22415e-12,6.219260000000001e-12
4.4,0.0,160,20,6.227810000000001e-12,6.23467e-12,6.226990000000001e-12
4.6000000000000005,0.0,160,20,6.235660000000001e-12,6.24201e-12,6.23467e-12
4.8,0.0,160,20,6.244090000000001e-12,6.24951e-12,6.242020000000001e-12
5.0,0.0,160,20,6.25138e-12,6.25774e-12,6.24965e-12
