VG,VD,W,L,ID,abs_ID,log_ID,sweep,device
-2.0,0.1,5,5,-3.0378e-12,3.0378e-12,-11.517440822229515,output,bot1rep
-2.0,0.2,5,5,-1.702e-13,1.702e-13,-12.76904044425143,output,bot1rep
-2.0,0.3,5,5,-1.3062e-12,1.3062e-12,-11.883990320575261,output,bot1rep
-2.0,0.4,5,5,-2.171e-12,2.171e-12,-11.66334017654558,output,bot1rep
-2.0,0.5,5,5,-2.9646e-12,2.9646e-12,-11.52803389572694,output,bot1rep
-2.0,0.6,5,5,-3.4794e-12,3.4794e-12,-11.458495640868142,output,bot1rep
-2.0,0.7,5,5,-3.9312e-12,3.9312e-12,-11.405474860863995,output,bot1rep
-2.0,0.8,5,5,-4.162e-12,4.162e-12,-11.380697924124393,output,bot1rep
-2.0,0.9,5,5,-4.3718e-12,4.3718e-12,-11.359339714261939,output,bot1rep
-2.0,1.0,5,5,4.7678e-12,4.7678e-12,-11.321681970700315,output,bot1rep
-2.0,1.1,5,5,4.0434e-12,4.0434e-12,-11.393253293244655,output,bot1rep
-2.0,1.2,5,5,-1.3672e-12,1.3672e-12,-11.86416795028732,output,bot1rep
-2.0,1.3,5,5,-1.148e-13,1.148e-13,-12.940058111938045,output,bot1rep
-2.0,1.4,5,5,1.016e-12,1.016e-12,-11.993106292052099,output,bot1rep
-2.0,1.5,5,5,2.0502e-12,2.0502e-12,-11.688203770817594,output,bot1rep
-2.0,1.6,5,5,2.715e-12,2.715e-12,-11.566230166075135,output,bot1rep
-2.0,1.7,5,5,3.466e-12,3.466e-12,-11.460171441622101,output,bot1rep
-2.0,1.8,5,5,3.8236e-12,3.8236e-12,-11.417527547065147,output,bot1rep
-2.0,1.9,5,5,4.0472e-12,4.0472e-12,-11.392845333599489,output,bot1rep
-2.0,2.0,5,5,4.216e-12,4.216e-12,-11.375099397795509,output,bot1rep
-2.0,2.1,5,5,-4.7026e-12,4.7026e-12,-11.327661960480098,output,bot1rep
-2.0,2.2,5,5,-4.3678e-12,4.3678e-12,-11.359737256037057,output,bot1rep
-2.0,2.3000000000000003,5,5,1.9942e-12,1.9942e-12,-11.7002312880802,output,bot1rep
-2.0,2.4,5,5,5.678e-13,5.678e-13,-12.245804611810161,output,bot1rep
-2.0,2.5,5,5,-7.21e-13,7.21e-13,-12.14206473528057,output,bot1rep
-2.0,2.6,5,5,-1.6992e-12,1.6992e-12,-11.769755500598626,output,bot1rep
-2.0,2.7,5,5,-2.438e-12,2.438e-12,-11.612966298717637,output,bot1rep
-2.0,2.8000000000000003,5,5,-3.1206e-12,3.1206e-12,-11.505761895841525,output,bot1rep
-2.0,2.9,5,5,-3.5914e-12,3.5914e-12,-11.444736221685872,output,bot1rep
-2.0,3.0,5,5,-3.9836e-12,3.9836e-12,-11.399724276301079,output,bot1rep
-2.0,3.1,5,5,-4.1532e-12,4.1532e-12,-11.381617154658247,output,bot1rep
