device,VG,VD,ID,IG,IS,sqrt_ID,gm,absIg,W,L,Ca,Mob_Sat,SS,absId
top1,3.6,5,4.8196e-05,2.775e-11,-4.8196e-05,0.006942333901506,3.0299999999999967e-05,2.775e-11,40,5,1.33e-07,8.949711703137531,0.2730645953108943,4.8196e-05
top1,3.7,5,5.1284e-05,-5.520000000000001e-12,-5.1284e-05,0.0071612848009278,3.146999999999996e-05,5.520000000000001e-12,40,5,1.33e-07,9.072962136015782,0.2665290609833179,5.1284e-05
top1,3.8,5,5.449e-05,-1.7700000000000001e-12,-5.4492e-05,0.0073817342135842,3.261000000000005e-05,1.7700000000000001e-12,40,5,1.33e-07,9.169879409390527,0.2599551351934928,5.449e-05
top1,3.9,5,5.7806e-05,3.2830000000000005e-11,-5.7808e-05,0.0076030257134906,3.369000000000006e-05,3.2830000000000005e-11,40,5,1.33e-07,9.22631036477104,0.25316632811788,5.7806e-05
top1,4.0,5,6.1228e-05,1.74e-12,-6.1228e-05,0.0078248322665728,3.482000000000006e-05,1.74e-12,40,5,1.33e-07,9.303820856092448,0.2470048925047677,6.1228e-05
top1,4.1,5,6.477e-05,-4.873e-11,-6.477800000000001e-05,0.0080479811132979,3.605999999999996e-05,4.873e-11,40,5,1.33e-07,9.43220571170492,0.2417996367068873,6.477e-05
top1,4.2,5,6.844e-05,-1.2000000000000001e-12,-6.843600000000001e-05,0.0082728471519785,3.718999999999993e-05,1.2000000000000001e-12,40,5,1.33e-07,9.49686793901928,0.236057095610884,6.844e-05
top1,4.3,5,7.2208e-05,3.343e-11,-7.2214e-05,0.0084975290526128,3.8309999999999936e-05,3.343e-11,40,5,1.33e-07,9.549794431089223,0.2304303476777345,7.2208e-05
top1,4.4,5,7.6102e-05,-3.2700000000000004e-12,-7.6102e-05,0.0087236460267482,3.948e-05,3.2700000000000004e-12,40,5,1.33e-07,9.624332613545402,0.2253444349062448,7.6102e-05
top1,4.5,5,8.0104e-05,-2.7e-13,-8.0104e-05,0.0089500837984903,4.053e-05,2.7e-13,40,5,1.33e-07,9.636710889210532,0.2197864113429657,8.0104e-05
top1,4.6000000000000005,5,8.4208e-05,3.354e-11,-8.4212e-05,0.0091764917043497,4.168999999999997e-05,3.354e-11,40,5,1.33e-07,9.69772061831714,0.215021759306637,8.4208e-05
top1,4.7,5,8.8442e-05,1.4400000000000001e-12,-8.8442e-05,0.0094043606906583,4.281000000000017e-05,1.4400000000000001e-12,40,5,1.33e-07,9.738316530685719,0.2102710196213538,8.8442e-05
top1,4.8,5,9.277e-05,-4.883e-11,-9.2768e-05,0.0096317184344228,4.3859999999999976e-05,4.883e-11,40,5,1.33e-07,9.74381936976959,0.2053512905319541,9.277e-05
top1,4.9,5,9.7214e-05,-1.83e-12,-9.722e-05,0.0098597160202512,4.495999999999994e-05,1.83e-12,40,5,1.33e-07,9.771294295023878,0.2008903864248677,9.7214e-05
top1,5.0,5,0.000101762,3.285e-11,-0.000101766,0.0100877153012959,4.556000000000018e-05,3.285e-11,40,5,1.33e-07,9.805383316036608,0.1989096139236597,0.000101762
