path,fname,W,L,pos,rep,run,label,vd_monotonic_frac,sign_flips,spikes,vg_order_violation_frac,off_state_max_abs_id,on_state_max_abs_id,off_state_leaky,vd_rise_ratio,vg_modulation_ratio,no_vd_dependence,no_vg_modulation,score
/home/user/igzoANN/scripts/../data/tft output [s5tft80-15top1(1) ; 6_5_2026 10_53_42 am].csv_s5_W80_L15_top_1.csv,tft output [s5tft80-15top1(1) ; 6_5_2026 10_53_42 am].csv_s5_W80_L15_top_1.csv,80,15,top,1,,top_1,1.0,5,0,0.014705882352941176,5.8782e-05,5.8706e-05,True,5010.424499282249,0.9988416856880048,False,True,21.911764705882348
/home/user/igzoANN/scripts/../data/tft output [s5tft80-15top2(1) ; 6_5_2026 11_59_44 am].csv_s5_W80_L15_top_2.csv,tft output [s5tft80-15top2(1) ; 6_5_2026 11_59_44 am].csv_s5_W80_L15_top_2.csv,80,15,top,2,,top_2,1.0,5,0,0.024509803921568627,0.0015892,0.00025132,True,17.660529860799283,0.9409090909090908,False,True,21.51960784313725
/home/user/igzoANN/scripts/../data/tft output [s5tft80-20bot2(1) ; 6_5_2026 4_44_19 pm].csv_s5_W80_L20_bot_2.csv,tft output [s5tft80-20bot2(1) ; 6_5_2026 4_44_19 pm].csv_s5_W80_L20_bot_2.csv,80,20,bot,2,,bot_2,1.0,0,0,0.004901960784313725,1.74506e-11,5.4332e-05,False,5.703368569119175,32.267490200736425,False,False,99.80392156862744
/home/user/igzoANN/scripts/../data/tft output [s5tft80-20bot1(1) ; 6_5_2026 3_23_06 pm].csv_s5_W80_L20_bot_1.csv,tft output [s5tft80-20bot1(1) ; 6_5_2026 3_23_06 pm].csv_s5_W80_L20_bot_1.csv,80,20,bot,1,,bot_1,1.0,0,0,0.004901960784313725,5.8136e-09,5.1328e-05,True,4.8676586341953785,34.8269778803094,False,False,84.80392156862746
/home/user/igzoANN/scripts/../data/tft output [s5tft80-20top1(1) ; 6_5_2026 11_03_01 am].csv_s5_W80_L20_top_1.csv,tft output [s5tft80-20top1(1) ; 6_5_2026 11_03_01 am].csv_s5_W80_L20_top_1.csv,80,20,top,1,,top_1,1.0,5,0,0.004901960784313725,4.239e-05,4.2308e-05,True,4635.572671516189,0.9986291008792663,False,True,22.30392156862746
/home/user/igzoANN/scripts/../data/tft output [s5tft80-20top2(1) ; 6_5_2026 12_12_19 pm].csv_s5_W80_L20_top_2.csv,tft output [s5tft80-20top2(1) ; 6_5_2026 12_12_19 pm].csv_s5_W80_L20_top_2.csv,80,20,top,2,,top_2,0.9960000000000001,5,0,0.0784313725490196,0.0001913,5.650000000000001e-05,True,92.3214759755774,1.147535574345226,False,True,19.202745098039216
/home/user/igzoANN/scripts/../data/tft output [s5tft160-5bot2(2) ; 6_5_2026 3_59_15 pm].csv_s5_W160_L5_bot_2_run2.csv,tft output [s5tft160-5bot2(2) ; 6_5_2026 3_59_15 pm].csv_s5_W160_L5_bot_2_run2.csv,160,5,bot,2,_run2,bot_2_run2,1.0,0,0,0.004901960784313725,5.0122e-12,0.00027822,False,4.479327666151468,303.3296264800157,False,False,99.80392156862744
/home/user/igzoANN/scripts/../data/tft output [s5tft160-5top1(1) ; 6_5_2026 10_28_55 am].csv_s5_W160_L5_top_1.csv,tft output [s5tft160-5top1(1) ; 6_5_2026 10_28_55 am].csv_s5_W160_L5_top_1.csv,160,5,top,1,,top_1,1.0,0,0,0.0,2.2666e-07,0.00039402,True,5.924578233542839,37.92008315047927,False,False,85.0
/home/user/igzoANN/scripts/../data/tft output [s5tft160-5bot1(1) ; 6_5_2026 2_39_01 pm].csv_s5_W160_L5_bot_1.csv,tft output [s5tft160-5bot1(1) ; 6_5_2026 2_39_01 pm].csv_s5_W160_L5_bot_1.csv,160,5,bot,1,,bot_1,1.0,0,0,0.004901960784313725,1.8682e-07,0.00043498,True,5.499671268902039,48.83958546197635,False,False,84.80392156862746
/home/user/igzoANN/scripts/../data/tft output [s5tft160-5top2(1) ; 6_5_2026 11_42_16 am].csv_s5_W160_L5_top_2.csv,tft output [s5tft160-5top2(1) ; 6_5_2026 11_42_16 am].csv_s5_W160_L5_top_2.csv,160,5,top,2,,top_2,1.0,5,0,0.004901960784313725,0.00036922,0.0003697,True,2447.047921630924,1.0030386890227359,False,True,22.30392156862746
/home/user/igzoANN/scripts/../data/tft output [s5tft160-10bot2(1) ; 6_5_2026 4_18_31 pm].csv_s5_W160_L10_bot_2.csv,tft output [s5tft160-10bot2(1) ; 6_5_2026 4_18_31 pm].csv_s5_W160_L10_bot_2.csv,160,10,bot,2,,bot_2,1.0,0,0,0.0,4.9556e-12,0.00012044,False,4.400438436244063,442.20884123953596,False,False,100.0
/home/user/igzoANN/scripts/../data/tft output [s5tft160-10bot1(1) ; 6_5_2026 2_57_13 pm].csv_s5_W160_L10_bot_1.csv,tft output [s5tft160-10bot1(1) ; 6_5_2026 2_57_13 pm].csv_s5_W160_L10_bot_1.csv,160,10,bot,1,,bot_1,1.0,0,0,0.0,1.87398e-08,0.00019406,True,4.970289929310521,50.53119466722216,False,False,85.0
/home/user/igzoANN/scripts/../data/tft output [s5tft160-10top2(2) ; 6_5_2026 11_55_42 am].csv_s5_W160_L10_top_2_run2.csv,tft output [s5tft160-10top2(2) ; 6_5_2026 11_55_42 am].csv_s5_W160_L10_top_2_run2.csv,160,10,top,2,_run2,top_2_run2,1.0,5,0,0.004901960784313725,0.0001815,0.00018098,True,979.1170742263579,1.000442233278054,False,True,22.30392156862746
/home/user/igzoANN/scripts/../data/tft output [s5tft160-10top1(3) ; 6_5_2026 10_48_55 am].csv_s5_W160_L10_top_1_run3.csv,tft output [s5tft160-10top1(3) ; 6_5_2026 10_48_55 am].csv_s5_W160_L10_top_1_run3.csv,160,10,top,1,_run3,top_1_run3,1.0,0,0,0.004901960784313725,1.5664e-09,1.573e-09,False,1.0264953301980524,1.0057762201453788,True,True,-20.19607843137254
/home/user/igzoANN/scripts/../data/tft output [s5tft160-15bot1(1) ; 6_5_2026 3_12_17 pm].csv_s5_W160_L15_bot_1.csv,tft output [s5tft160-15bot1(1) ; 6_5_2026 3_12_17 pm].csv_s5_W160_L15_bot_1.csv,160,15,bot,1,,bot_1,1.0,0,0,0.0,6.0074e-09,0.00012548,True,5.62488793258024,42.53703515373402,False,False,85.0
/home/user/igzoANN/scripts/../data/tft output [s5tft160-15bot2(1) ; 6_5_2026 4_33_04 pm].csv_s5_W160_L15_bot_2.csv,tft output [s5tft160-15bot2(1) ; 6_5_2026 4_33_04 pm].csv_s5_W160_L15_bot_2.csv,160,15,bot,2,,bot_2,1.0,0,0,0.00980392156862745,1.02583e-08,0.00013288,True,4.85140562248996,37.95595418321003,False,False,84.6078431372549
/home/user/igzoANN/scripts/../data/tft output [s5tft160-15top1(1) ; 6_5_2026 10_57_17 am].csv_s5_W160_L15_top_1.csv,tft output [s5tft160-15top1(1) ; 6_5_2026 10_57_17 am].csv_s5_W160_L15_top_1.csv,160,15,top,1,,top_1,1.0,1,0,0.014705882352941176,5.11644e-08,0.00012468,True,4.78104149091188,33.91637877098012,False,False,83.91176470588235
/home/user/igzoANN/scripts/../data/tft output [s5tft160-15top2(2) ; 6_5_2026 12_02_58 pm].csv_s5_W160_L15_top_2_run2.csv,tft output [s5tft160-15top2(2) ; 6_5_2026 12_02_58 pm].csv_s5_W160_L15_top_2_run2.csv,160,15,top,2,_run2,top_2_run2,1.0,0,0,0.00980392156862745,3.9649e-09,4.15082e-08,False,1.0353092893379376,0.9490179221274039,True,True,-20.392156862745097
/home/user/igzoANN/scripts/../data/tft output [s5tft160-20bot1(2) ; 6_5_2026 3_28_42 pm].csv_s5_W160_L20_bot_1_run2.csv,tft output [s5tft160-20bot1(2) ; 6_5_2026 3_28_42 pm].csv_s5_W160_L20_bot_1_run2.csv,160,20,bot,1,_run2,bot_1_run2,1.0,0,0,0.0,8.3309e-10,9.91e-05,False,4.806013579049466,66.98208854342683,False,False,100.0
/home/user/igzoANN/scripts/../data/tft output [s5tft160-20bot2(1) ; 6_5_2026 4_48_17 pm].csv_s5_W160_L20_bot_2.csv,tft output [s5tft160-20bot2(1) ; 6_5_2026 4_48_17 pm].csv_s5_W160_L20_bot_2.csv,160,20,bot,2,,bot_2,1.0,0,0,0.0,4.22012e-11,6.826400000000001e-05,False,5.054862468059523,76.1531668214035,False,False,100.0
/home/user/igzoANN/scripts/../data/tft output [s5tft160-20top1(1) ; 6_5_2026 11_04_27 am].csv_s5_W160_L20_top_1.csv,tft output [s5tft160-20top1(1) ; 6_5_2026 11_04_27 am].csv_s5_W160_L20_top_1.csv,160,20,top,1,,top_1,0.9960000000000001,5,0,0.014705882352941176,0.0100002,7.304e-05,True,63487.88565452327,0.9973439211391018,False,True,21.75176470588235
/home/user/igzoANN/scripts/../data/tft output [s5tft160-20top2(1) ; 6_5_2026 12_13_40 pm].csv_s5_W160_L20_top_2.csv,tft output [s5tft160-20top2(1) ; 6_5_2026 12_13_40 pm].csv_s5_W160_L20_top_2.csv,160,20,top,2,,top_2,1.0,5,0,0.10294117647058823,0.00021006,0.000107086,True,74.41820889172516,0.9829727451531329,False,True,18.382352941176464
