W,L,VD,VG,ID,gm
5,5,1.0,2.55,1.6847676412165196e-06,9.889123860415135e-07
5,5,1.0,2.6,1.7351459552163935e-06,1.0266682741388098e-06
5,5,1.0,2.65,1.7874789458952194e-06,1.0670929453959134e-06
5,5,1.0,2.7,1.8418991131268054e-06,1.1101495657601272e-06
5,5,1.0,2.75,1.8985372251443028e-06,1.1558056875045047e-06
5,5,1.0,2.8,1.9575225341736825e-06,1.2040330780336217e-06
5,5,1.0,2.85,2.018982980236804e-06,1.2548074238691678e-06
5,5,1.0,2.9,2.083045377729951e-06,1.3081079426336332e-06
5,5,1.0,2.95,2.1498355808730767e-06,1.363916929924794e-06
5,5,1.0,3.0,2.219478625338861e-06,1.4222192628920618e-06
5,5,1.0,3.05,2.2920988443510537e-06,1.4830018780308964e-06
5,5,1.0,3.1,2.367819958324924e-06,1.5462532371285601e-06
5,5,1.0,3.15,2.446765137742799e-06,1.6119627923396804e-06
5,5,1.0,3.2,2.529057039444645e-06,1.6801204589595188e-06
5,5,1.0,3.25,2.614817816891053e-06,1.7507161025149734e-06
5,5,1.0,3.3,2.704169105247072e-06,1.823739045234701e-06
5,5,1.0,3.35,2.797231982355795e-06,1.8991775957223881e-06
5,5,1.0,3.4,2.8941269068369435e-06,1.977018604683292e-06
5,5,1.0,3.45,2.994973634667799e-06,2.0572470487923595e-06
5,5,1.0,3.5,3.0998911156934356e-06,2.1398456442005725e-06
5,5,1.0,3.55,3.208997371575545e-06,2.224794490716745e-06
5,5,1.0,3.6,3.3224093567322013e-06,2.312070747347836e-06
5,5,1.0,3.65,3.440242803847454e-06,2.4016483396041955e-06
5,5,1.0,3.7,3.562612055544713e-06,2.493497698760122e-06
5,5,1.0,3.75,3.689629883822796e-06,2.5875855330876937e-06
5,5,1.0,3.8,3.821407298850538e-06,2.6838746309402e-06
5,5,1.0,3.85,3.958053348707065e-06,2.7823236954427764e-06
5,5,1.0,3.9,4.099674911639855e-06,2.8828872104432413e-06
5,5,1.0,3.95,4.246376482392564e-06,2.9855153372802884e-06
5,5,1.0,4.0,4.398259954131107e-06,3.0901538418377522e-06
5,5,1.0,4.05,4.5554243974666244e-06,3.196744051265771e-06
5,5,1.0,4.1,4.717965838041879e-06,3.305222839665527e-06
5,5,1.0,4.15,4.885977034109668e-06,3.4155226419490784e-06
5,5,1.0,4.2,5.059547255490466e-06,3.5275714950019024e-06
5,5,1.0,4.25,5.238762065251351e-06,3.641293105192342e-06
5,5,1.0,4.3,5.423703105397287e-06,3.756606941189568e-06
5,5,1.0,4.35,5.614447887812998e-06,3.873428350971081e-06
5,5,1.0,4.4,5.8110695916352515e-06,3.991668701823577e-06
5,5,1.0,4.45,6.013636868173561e-06,4.111235542066219e-06
