W,L,VG,VD,ID,gds
5,5,2.0,0.4,7.004897060110797e-07,7.457965169722329e-07
5,5,2.0,0.45,7.378324927287563e-07,7.513099206108405e-07
5,5,2.0,0.5,7.758305827458559e-07,7.698356030946091e-07
5,5,2.0,0.55,8.148896796107901e-07,7.929351365566294e-07
5,5,2.0,0.6,8.551463529352893e-07,8.174277978393569e-07
5,5,2.0,0.65,8.966347573962224e-07,8.420796390569419e-07
5,5,2.0,0.7,9.393482489886206e-07,8.663753120282921e-07
5,5,2.0,0.75,9.832621537808382e-07,8.900658965065235e-07
5,5,2.0,0.8,1.0283422648502317e-06,9.130032746925121e-07
5,5,2.0,0.85,1.0745481258303356e-06,9.350799142624986e-07
5,5,2.0,0.9,1.1218344295926896e-06,9.562073228550246e-07
5,5,2.0,0.95,1.17015175134928e-06,9.76308629751283e-07
5,5,2.0,1.0,1.219447060007841e-06,9.95316274159734e-07
5,5,2.0,1.05,1.2696641666312849e-06,1.0131714849108702e-06
5,5,2.0,1.1,1.3207441641024745e-06,1.0298243327103183e-06
5,5,2.0,1.15,1.3726258735844304e-06,1.0452339070754101e-06
5,5,2.0,1.2,1.4252462992451528e-06,1.0593684546580488e-06
5,5,2.0,1.25,1.4785410876292218e-06,1.0722054217534527e-06
5,5,2.0,1.3,1.5324449863673297e-06,1.0837313843064068e-06
5,5,2.0,1.35,1.5868922965459638e-06,1.0939418649938558e-06
5,5,2.0,1.4,1.641817313238896e-06,1.102841044095388e-06
5,5,2.0,1.45,1.6971547491352327e-06,1.110441374379581e-06
5,5,2.0,1.5,1.7528401367622427e-06,1.1167631121432899e-06
5,5,2.0,1.55,1.808810205437388e-06,1.1218337775913694e-06
5,5,2.0,1.6,1.865003229757209e-06,1.1256875582208506e-06
5,5,2.0,1.65,1.9213593471162506e-06,1.1283646689094112e-06
5,5,2.0,1.7,1.9778208424277833e-06,1.1299106820793526e-06
5,5,2.0,1.75,2.034332398871595e-06,1.1303758406777376e-06
5,5,2.0,1.8,2.0908413141107547e-06,1.1298143658393265e-06
5,5,2.0,1.85,2.147297681985709e-06,1.1282837700368464e-06
5,5,2.0,1.9,2.203654540206218e-06,1.125844185328115e-06
5,5,2.0,1.95,2.259867985009238e-06,1.122557715031442e-06
5,5,2.0,2.0,2.31589725413522e-06,1.118487815846451e-06
5,5,2.0,2.05,2.3717047797931678e-06,1.1136987161274533e-06
5,5,2.0,2.1,2.4272562135381805e-06,1.1082548747448565e-06
5,5,2.0,2.15,2.4825204251764728e-06,1.1022204837649752e-06
5,5,2.0,2.2,2.5374694779460545e-06,1.0956590170615743e-06
5,5,2.0,2.25,2.5920785823011267e-06,1.088632825958951e-06
5,5,2.0,2.3,2.6463260306603225e-06,1.0812027821063582e-06
5,5,2.0,2.35,2.7001931154689125e-06,1.0734279670019766e-06
5,5,2.0,2.4,2.7536640328784913e-06,1.0653654069221532e-06
5,5,2.0,2.45,2.8067257742722697e-06,1.0570698514661197e-06
5,5,2.0,2.5,2.859368007762162e-06,1.048593593491219e-06
5,5,2.0,2.55,2.9115829516647784e-06,1.0399863278825997e-06
5,5,2.0,2.6,2.9633652418290503e-06,1.0312950463644014e-06
5,5,2.0,2.65,3.014711794544176e-06,1.0225639654068915e-06
5,5,2.0,2.7,3.0656216666074297e-06,1.0138344842059417e-06
5,5,2.0,2.75,3.1160959139794848e-06,1.0051451696966177e-06
5,5,2.0,2.8,3.1661374503035522e-06,9.965317656016874e-07
