W,L,VD,VG,ID,gm
5,5,1.0,-0.2,2.6328448689932857e-13,-3.747485572642891e-13
5,5,1.0,-0.15,2.459307870161887e-13,-3.2024748062784536e-13
5,5,1.0,-0.1,2.311802846462163e-13,-2.705129117655682e-13
5,5,1.0,-0.05,2.1881097397764554e-13,-2.2488924342764403e-13
5,5,1.0,-0.0,2.086339844215171e-13,-1.8270786128248913e-13
5,5,1.0,0.05,2.004940987381539e-13,-1.4329153003719915e-13
5,5,1.0,0.1,1.9427018392803302e-13,-1.0595356058423252e-13
5,5,1.0,0.15,1.8987578736347495e-13,-6.99920726938906e-14
5,5,1.0,0.2,1.8726013910920247e-13,-3.4679489379920114e-14
5,5,1.0,0.25,1.864098002739017e-13,7.528382683847937e-16
5,5,1.0,0.3,1.8735120938274e-13,3.713526985570768e-14
5,5,1.0,0.35,1.9015440701000036e-13,7.538652465950803e-14
5,5,1.0,0.4,1.9493826651500495e-13,1.1654751179816459e-13
5,5,1.0,0.45,2.0187762975643974e-13,1.6182402953621775e-13
5,5,1.0,0.5,2.1121284646634205e-13,2.126406616110166e-13
5,5,1.0,0.55,2.232623516824406e-13,2.7070900295973937e-13
5,5,1.0,0.6,2.384390968111262e-13,3.3811437146928115e-13
5,5,1.0,0.65,2.57271889234898e-13,4.1742647849708744e-13
5,5,1.0,0.7,2.8043300972048136e-13,5.118412324868652e-13
5,5,1.0,0.75,3.087738883931637e-13,6.253630578887726e-13
5,5,1.0,0.8,3.4337115776235944e-13,7.630399814135426e-13
5,5,1.0,0.85,3.855861030976422e-13,9.31267469160103e-13
5,5,1.0,0.9,4.3714144557451407e-13,1.1381818467989077e-12
5,5,1.0,0.95,5.002205856978257e-13,1.3941704259323807e-12
5,5,1.0,1.0,5.775959855743548e-13,1.7125336046233372e-12
5,5,1.0,1.05,6.727953837974526e-13,2.11034472658357e-12
5,5,1.0,1.1,7.903171501758079e-13,2.609567017780917e-12
5,5,1.0,1.15,9.359094694626534e-13,3.2385042705381418e-12
5,5,1.0,1.2,1.1169324081386225e-12,4.03368409218651e-12
