W,L,VG,VD,ID,gds
5,5,3.0,2.1,3.603938827824784e-09,-5.200031857650531e-10
5,5,3.0,2.15,3.578184956183504e-09,-5.101800151522657e-10
5,5,3.0,2.2,3.552917963856408e-09,-5.005285254428108e-10
5,5,3.0,2.25,3.5281292050741815e-09,-4.910509015842131e-10
5,5,3.0,2.3,3.5038099632542575e-09,-4.817478696593682e-10
5,5,3.0,2.35,3.4799515132834364e-09,-4.726191023199194e-10
5,5,3.0,2.4,3.4565451663797756e-09,-4.636635157948313e-10
5,5,3.0,2.45,3.4335823021932044e-09,-4.5487948743131534e-10
5,5,3.0,2.5,3.4110543915605925e-09,-4.462650149864583e-10
5,5,3.0,2.55,3.3889530124193444e-09,-4.378178332191514e-10
5,5,3.0,2.6,3.3672698607135867e-09,-4.2953549917764993e-10
5,5,3.0,2.65,3.345996757640259e-09,-4.2141545453473003e-10
5,5,3.0,2.7,3.3251256542202874e-09,-4.1345507109222375e-10
5,5,3.0,2.75,3.3046486339195644e-09,-4.0565168394285516e-10
5,5,3.0,2.8,3.2845579138492797e-09,-3.9800261557868877e-10
5,5,3.0,2.85,3.264845844935891e-09,-3.9050519335937993e-10
5,5,3.0,2.9,3.2455049113454264e-09,-3.831567621082891e-10
5,5,3.0,2.95,3.226527729372156e-09,-3.759546931345149e-10
5,5,3.0,3.0,3.2079070459449706e-09,-3.6889639063184624e-10
5,5,3.0,3.05,3.189635736864438e-09,-3.6197929615333166e-10
5,5,3.0,3.1,3.1717068048532955e-09,-3.5520089167332425e-10
5,5,3.0,3.15,3.1541133774811032e-09,-3.485587016133292e-10
5,5,3.0,3.2,3.1368487050074305e-09,-3.4205029410731185e-10
5,5,3.0,3.25,3.119906158176758e-09,-3.3567328170962e-10
5,5,3.0,3.3,3.10327922598829e-09,-3.294253216940043e-10
5,5,3.0,3.35,3.0869615134591495e-09,-3.2330411605347804e-10
5,5,3.0,3.4,3.0709467393929904e-09,-3.1730741128140224e-10
5,5,3.0,3.45,3.055228734163852e-09,-3.1143299799292374e-10
5,5,3.0,3.5,3.03980143752218e-09,-3.056787104305531e-10
5,5,3.0,3.55,3.024658896427401e-09,-3.000424258858854e-10
5,5,3.0,3.6,3.0097952629114426e-09,-2.9452206406135776e-10
5,5,3.0,3.65,2.9952047919748654e-09,-2.891155863893319e-10
5,5,3.0,3.7,2.9808818395181686e-09,-2.8382099532180096e-10
5,5,3.0,3.75,2.9668208603088903e-09,-2.786363336000543e-10
5,5,3.0,3.8,2.953016405985822e-09,-2.735596835117737e-10
5,5,3.0,3.85,2.9394631231002146e-09,-2.68589166140673e-10
5,5,3.0,3.9,2.9261557511950626e-09,-2.6372294061283807e-10
5,5,3.0,3.95,2.9130891209215956e-09,-2.5895920334283394e-10
5,5,3.0,4.0,2.9002581521938558e-09,-2.5429618728162346e-10
5,5,3.0,4.05,2.8876578523804456e-09,-2.497321611684337e-10
5,5,3.0,4.1,2.8752833145338734e-09,-2.452654287875275e-10
5,5,3.0,4.15,2.8631297156566068e-09,-2.408943282312362e-10
5,5,3.0,4.2,2.851192315004088e-09,-2.3661723116982785e-10
5,5,3.0,4.25,2.8394664524238133e-09,-2.324325421289661e-10
5,5,3.0,4.3,2.8279475467305256e-09,-2.2833869777531378e-10
5,5,3.0,4.35,2.816631094116879e-09,-2.2433416621055268e-10
