VG,VD,ID,IG,IS,gm,absIg,absId,W,L,Ca,mobLin,SS,d2
2.6,0.1,1.0432979999999998e-07,1.9400000000000002e-12,-1.108956e-07,3.626599999999998e-08,1.9400000000000002e-12,1.0432979999999998e-07,5,5,1.33e-07,2.726766917293231,0.1464955726480175,1.453350000000003e-07
2.7,0.1,1.1118e-07,1.7000000000000003e-11,-1.0594e-07,2.325100000000006e-08,1.7000000000000003e-11,1.1118e-07,5,5,1.33e-07,1.7481954887218087,0.0946921436340141,-1.818299999999997e-07
2.8000000000000003,0.1,1.0898e-07,2.9e-12,-1.0892e-07,-9.999999999998115e-11,2.9e-12,1.0898e-07,5,5,1.33e-07,-0.0075187969924797,-0.0003906579860313,3.9774500000000105e-07
2.9,0.1,1.1116e-07,-4.4090000000000006e-11,-1.129e-07,1.0280000000000017e-07,4.4090000000000006e-11,1.1116e-07,5,5,1.33e-07,7.729323308270688,0.3752854457489234,6.925e-07
3.0,0.1,1.2954e-07,-1.7100000000000002e-12,-1.2402e-07,1.3839999999999986e-07,1.7100000000000002e-12,1.2954e-07,5,5,1.33e-07,10.406015037593972,0.4828303344701985,-7.215000000000004e-07
3.1,0.1,1.3884e-07,4.614e-11,-1.1766e-07,-4.1500000000000034e-08,4.614e-11,1.3884e-07,5,5,1.33e-07,-3.120300751879701,-0.1437898251114465,-1.0444999999999978e-06
3.2,0.1,1.2124e-07,1.2900000000000002e-12,-1.218e-07,-7.049999999999994e-08,1.2900000000000002e-12,1.2124e-07,5,5,1.33e-07,-5.300751879699241,-0.2325443264213021,2.935000000000003e-07
3.3000000000000003,0.1,1.2474e-07,-1.122e-11,-1.252e-07,1.720000000000007e-08,1.122e-11,1.2474e-07,5,5,1.33e-07,1.293233082706772,0.0607543295460867,4.115000000000004e-07
3.4,0.1,1.2468e-07,1.6540000000000002e-11,-1.2418e-07,1.1800000000000031e-08,1.6540000000000002e-11,1.2468e-07,5,5,1.33e-07,0.887218045112784,0.040699054194473,1.6899999999999965e-07
3.5,0.1,1.271e-07,1.3400000000000003e-12,-1.3472e-07,5.099999999999995e-08,1.3400000000000003e-12,1.271e-07,5,5,1.33e-07,3.8345864661654088,0.170753818379321,2.454999999999993e-07
3.6,0.1,1.3488e-07,-4.5220000000000006e-11,-1.3482e-07,6.089999999999992e-08,4.5220000000000006e-11,1.3488e-07,5,5,1.33e-07,4.578947368421045,0.198716037776334,1.0649999999999949e-07
3.7,0.1,1.3928e-07,-8.9e-13,-1.3624e-07,7.229999999999986e-08,8.9e-13,1.3928e-07,5,5,1.33e-07,5.436090225563897,0.2211429485578484,2.000000000000012e-07
3.8,0.1,1.4934e-07,4.586e-11,-1.4964e-07,1.009000000000002e-07,4.586e-11,1.4934e-07,5,5,1.33e-07,7.5864661654135475,0.2938150082403194,-4.6049999999999987e-07
3.9,0.1,1.5946e-07,6.700000000000002e-13,-1.5562e-07,-1.9799999999999975e-08,6.700000000000002e-13,1.5946e-07,5,5,1.33e-07,-1.4887218045112762,-0.0583574123554343,-8.325000000000026e-07
4.0,0.1,1.4538e-07,-8.74e-12,-1.5688e-07,-6.56000000000001e-08,8.74e-12,1.4538e-07,5,5,1.33e-07,-4.932330827067675,-0.1864435452998194,6.405000000000003e-07
4.1,0.1,1.4634e-07,1.95e-11,-1.4546e-07,1.0829999999999989e-07,1.95e-11,1.4634e-07,5,5,1.33e-07,8.142857142857133,0.3015790840050944,9.114999999999992e-07
4.2,0.1,1.6704e-07,1.5e-12,-1.6074e-07,1.1669999999999989e-07,1.5e-12,1.6704e-07,5,5,1.33e-07,8.774436090225553,0.3213380240556504,-1.183499999999998e-06
4.3,0.1,1.6968e-07,-4.668e-11,-1.6986e-07,-1.2839999999999993e-07,4.668e-11,1.6968e-07,5,5,1.33e-07,-9.654135338345856,-0.3624697241173043,-1.121999999999998e-06
4.4,0.1,1.4136e-07,-1.22e-12,-1.464e-07,-1.0769999999999989e-07,1.22e-12,1.4136e-07,5,5,1.33e-07,-8.097744360902244,-0.2947915759646455,1.3094999999999978e-06
4.5,0.1,1.4814e-07,4.444e-11,-1.4936e-07,1.334999999999999e-07,4.444e-11,1.4814e-07,5,5,1.33e-07,10.037593984962394,0.3756891135425185,6.434999999999987e-07
4.6000000000000005,0.1,1.6805999999999998e-07,1.6000000000000005e-13,-1.6514e-07,2.0999999999999973e-08,1.6000000000000005e-13,1.6805999999999998e-07,5,5,1.33e-07,1.57894736842105,0.060708054708951,-6.824999999999987e-07
4.7,0.1,1.5234e-07,-7.000000000000001e-12,-1.5006e-07,-2.9999999999999714e-09,7.000000000000001e-12,1.5234e-07,5,5,1.33e-07,-0.2255639097744339,-0.0077663616746859,1.2950000000000033e-07
4.8,0.1,1.6746e-07,2.2390000000000003e-11,-1.7356e-07,4.689999999999994e-08,2.2390000000000003e-11,1.6746e-07,5,5,1.33e-07,3.5263157894736787,0.1297489070213541,-4.0399999999999933e-07
