VG,VD,W,L,ID,abs_ID,log_ID,VG_scaled,VD_scaled,W_scaled,L_scaled
2.4,0.1,10.0,10.0,1.7418e-07,1.7418e-07,-6.7590017137846825,0.74,0.020000000000000004,0.03225806451612903,0.3333333333333333
2.5,0.1,10.0,10.0,1.8546e-07,1.8546e-07,-6.731749744553052,0.75,0.020000000000000004,0.03225806451612903,0.3333333333333333
2.6,0.1,10.0,10.0,1.9696e-07,1.9696e-07,-6.705621964412759,0.76,0.020000000000000004,0.03225806451612903,0.3333333333333333
2.7,0.1,10.0,10.0,2.0856e-07,2.0856e-07,-6.680768981839727,0.77,0.020000000000000004,0.03225806451612903,0.3333333333333333
2.8000000000000003,0.1,10.0,10.0,2.2042e-07,2.2042e-07,-6.656749001945637,0.78,0.020000000000000004,0.03225806451612903,0.3333333333333333
2.9,0.1,10.0,10.0,2.3232e-07,2.3232e-07,-6.63391340098,0.79,0.020000000000000004,0.03225806451612903,0.3333333333333333
3.0,0.1,10.0,10.0,2.4448e-07,2.4448e-07,-6.611756663104404,0.8,0.020000000000000004,0.03225806451612903,0.3333333333333333
3.1,0.1,10.0,10.0,2.568e-07,2.568e-07,-6.590404980603184,0.81,0.020000000000000004,0.03225806451612903,0.3333333333333333
3.2,0.1,10.0,10.0,2.6906e-07,2.6906e-07,-6.570150862141508,0.8200000000000001,0.020000000000000004,0.03225806451612903,0.3333333333333333
3.3000000000000003,0.1,10.0,10.0,2.8152e-07,2.8152e-07,-6.550490746172865,0.8300000000000001,0.020000000000000004,0.03225806451612903,0.3333333333333333
3.4,0.1,10.0,10.0,2.9426e-07,2.9426e-07,-6.531268769364651,0.8400000000000001,0.020000000000000004,0.03225806451612903,0.3333333333333333
3.5,0.1,10.0,10.0,3.0718e-07,3.0718e-07,-6.512607063941288,0.8500000000000001,0.020000000000000004,0.03225806451612903,0.3333333333333333
3.6,0.1,10.0,10.0,3.2004e-07,3.2004e-07,-6.494795738262499,0.8600000000000001,0.020000000000000004,0.03225806451612903,0.3333333333333333
3.7,0.1,10.0,10.0,3.331e-07,3.331e-07,-6.477425367308824,0.8700000000000001,0.020000000000000004,0.03225806451612903,0.3333333333333333
3.8,0.1,10.0,10.0,3.4638e-07,3.4638e-07,-6.460447192117726,0.88,0.020000000000000004,0.03225806451612903,0.3333333333333333
3.9,0.1,10.0,10.0,3.5962e-07,3.5962e-07,-6.444156163301145,0.89,0.020000000000000004,0.03225806451612903,0.3333333333333333
4.0,0.1,10.0,10.0,3.73e-07,3.73e-07,-6.428291168191312,0.9,0.020000000000000004,0.03225806451612903,0.3333333333333333
4.1,0.1,10.0,10.0,3.866e-07,3.866e-07,-6.412738150307466,0.9099999999999999,0.020000000000000004,0.03225806451612903,0.3333333333333333
4.2,0.1,10.0,10.0,4.0046e-07,4.0046e-07,-6.397440856975096,0.92,0.020000000000000004,0.03225806451612903,0.3333333333333333
4.3,0.1,10.0,10.0,4.1386e-07,4.1386e-07,-6.383146546584863,0.9299999999999999,0.020000000000000004,0.03225806451612903,0.3333333333333333
4.4,0.1,10.0,10.0,4.2786e-07,4.2786e-07,-6.3686983131685135,0.9400000000000001,0.020000000000000004,0.03225806451612903,0.3333333333333333
4.5,0.1,10.0,10.0,4.4202e-07,4.4202e-07,-6.354558079761472,0.95,0.020000000000000004,0.03225806451612903,0.3333333333333333
4.6000000000000005,0.1,10.0,10.0,4.558e-07,4.558e-07,-6.341225679155643,0.9600000000000001,0.020000000000000004,0.03225806451612903,0.3333333333333333
4.7,0.1,10.0,10.0,4.7002e-07,4.7002e-07,-6.327883661841224,0.97,0.020000000000000004,0.03225806451612903,0.3333333333333333
4.8,0.1,10.0,10.0,4.8428e-07,4.8428e-07,-6.314903466260073,0.98,0.020000000000000004,0.03225806451612903,0.3333333333333333
4.9,0.1,10.0,10.0,4.9894e-07,4.9894e-07,-6.301951677293711,0.99,0.020000000000000004,0.03225806451612903,0.3333333333333333
5.0,0.1,10.0,10.0,5.1326e-07,5.1326e-07,-6.289662580384041,1.0,0.020000000000000004,0.03225806451612903,0.3333333333333333
5.0,0.1,10.0,10.0,5.1332e-07,5.1332e-07,-6.289611814405854,1.0,0.020000000000000004,0.03225806451612903,0.3333333333333333
4.9,0.1,10.0,10.0,4.984e-07,4.984e-07,-6.302421966348887,0.99,0.020000000000000004,0.03225806451612903,0.3333333333333333
4.8,0.1,10.0,10.0,4.8394e-07,4.8394e-07,-6.315208479851853,0.98,0.020000000000000004,0.03225806451612903,0.3333333333333333
4.7,0.1,10.0,10.0,4.6938e-07,4.6938e-07,-6.328475419370331,0.97,0.020000000000000004,0.03225806451612903,0.3333333333333333
4.6000000000000005,0.1,10.0,10.0,4.55e-07,4.55e-07,-6.341988603342887,0.9600000000000001,0.020000000000000004,0.03225806451612903,0.3333333333333333
4.5,0.1,10.0,10.0,4.4054e-07,4.4054e-07,-6.356014652540029,0.95,0.020000000000000004,0.03225806451612903,0.3333333333333333
4.4,0.1,10.0,10.0,4.265e-07,4.265e-07,-6.370080964496458,0.9400000000000001,0.020000000000000004,0.03225806451612903,0.3333333333333333
4.3,0.1,10.0,10.0,4.1262e-07,4.1262e-07,-6.384449725274334,0.9299999999999999,0.020000000000000004,0.03225806451612903,0.3333333333333333
4.2,0.1,10.0,10.0,3.9862e-07,3.9862e-07,-6.399440915189632,0.92,0.020000000000000004,0.03225806451612903,0.3333333333333333
4.1,0.1,10.0,10.0,3.8494e-07,3.8494e-07,-6.414606958022909,0.9099999999999999,0.020000000000000004,0.03225806451612903,0.3333333333333333
4.0,0.1,10.0,10.0,3.7122e-07,3.7122e-07,-6.4303686335963555,0.9,0.020000000000000004,0.03225806451612903,0.3333333333333333
3.9,0.1,10.0,10.0,3.5786e-07,3.5786e-07,-6.446286842403821,0.89,0.020000000000000004,0.03225806451612903,0.3333333333333333
3.8,0.1,10.0,10.0,3.445e-07,3.445e-07,-6.462810773756355,0.88,0.020000000000000004,0.03225806451612903,0.3333333333333333
3.7,0.1,10.0,10.0,3.3112e-07,3.3112e-07,-6.480014586607297,0.8700000000000001,0.020000000000000004,0.03225806451612903,0.3333333333333333
3.6,0.1,10.0,10.0,3.182e-07,3.182e-07,-6.497299824689438,0.8600000000000001,0.020000000000000004,0.03225806451612903,0.3333333333333333
