cap_type,VG,VD,W,L,freq,C_F,C_pF
cgs,2.4,0.0,160,20,10000.0,6.06115e-12,6.0611500000000005
cgs,2.6,0.0,160,20,10000.0,6.0920100000000004e-12,6.09201
cgs,2.8000000000000003,0.0,160,20,10000.0,6.118770000000001e-12,6.118770000000001
cgs,3.0,0.0,160,20,10000.0,6.140520000000001e-12,6.140520000000001
cgs,3.2,0.0,160,20,10000.0,6.16027e-12,6.160270000000001
cgs,3.4,0.0,160,20,10000.0,6.175740000000001e-12,6.175740000000001
cgs,3.6,0.0,160,20,10000.0,6.190180000000001e-12,6.190180000000002
cgs,3.8,0.0,160,20,10000.0,6.203730000000001e-12,6.203730000000001
cgs,4.0,0.0,160,20,10000.0,6.21565e-12,6.21565
cgs,4.2,0.0,160,20,10000.0,6.22415e-12,6.22415
cgs,4.4,0.0,160,20,10000.0,6.23467e-12,6.23467
cgs,4.6000000000000005,0.0,160,20,10000.0,6.24201e-12,6.2420100000000005
cgs,4.8,0.0,160,20,10000.0,6.24951e-12,6.24951
cgs,5.0,0.0,160,20,10000.0,6.25774e-12,6.25774
